"Station","lon","lat"
"Gerrard St / Broadview",-79.3526336,43.6654831
"High Park Subway Station",-79.4668176,43.6538467
"Howard Park Ave / Dundas St",-79.4481727,43.652162
"Humber Bay Shores Park East",-79.4756618,43.6279083
"Humber Bay Shores Park West",-79.4756618,43.6279083
"John St / Mercer St",-79.3894662,43.6459532
"King / Cowan Ave",-79.4318398,43.637922
"Lake Shore Blvd / Ontario Dr",-79.4198324,43.6303922
"Lake Shore Blvd / Windermere Ave",-79.4681797,43.6352044
"Lakeshore Blvd / Ellis Ave",-79.4651582,43.6361237
"Lakeshore Blvd / The Boulevard Club",-79.4440176,43.6356509
"Lansdowne Subway Green P",-79.4321367,43.6610633
"Lower Spadina Ave / Lake Shore Blvd",-79.3921202,43.6385386
"Martin Goodman Trail",-79.4288342,43.6309496
"Michael Sweet Ave / St Patrick St",-79.389317,43.6521354
"Parkside Dr / Bloor St",-79.4599897,43.654699
"Queen's Park Cres / Grosvenor St",-79.3898756,43.6617465
"Queen St / Larchmount Ave",-79.3343085,43.6623377
"Queen St / Pape Ave",-79.3376924,43.6615867
"Queen St / Fuller Ave",-79.4391036,43.6401129
"Queen St / James St",-79.3807098,43.652101
"Queen St / Roncesvalles Ave",-79.4131843,43.6453349
"Robert St / Bloor St",-79.4053356,43.6663621
"Roncesvalles Ave / Marmaduke St",-79.4506543,43.6504594
"Rosehill Ave / Avoca Ave",-79.3883309,43.687323
"Roxton Rd / College St",-79.4214687,43.6546432
"Sorauren/Geoffrey",-79.4445453,43.6490836
"Spadina Ave / Adelaide St",-79.3954343,43.646761
"Spadina Ave / Harbord St",-79.4020073,43.6630951
"St George St / Russell St",-79.3969562,43.6604579
"Stewart St / Bathurst St",-79.402383,43.6431914
"Summerhill Ave / MacLennan Ave",-79.3780841,43.6855976
"Sunnyside - Gus Ryder Pool",-79.454552,43.6376543
"Tecumseth St / Queen St",-79.4065926,43.6466705
"The Royal Ontario Museum",-79.3947771,43.6677097
"Thompson St / Broadview Ave",-79.3501257,43.6595704
"Toronto Eaton Centre",-79.3806994,43.6544382
"Vanauley St / Queen St",-79.3983935,43.6483261
"Victoria Park Subway Station",-79.288964,43.6942914
"Wallace Ave / Symington Ave",-79.4493566,43.661291
"Walton St / Elizabeth St",-79.3861666,43.6577699
"Ward Ave / Wallace Ave",-79.4458421,43.6620325
"Wright / Sorauren",-79.4435267,43.6464605
"Wychwood Ave / Benson Ave",-79.4228273,43.6805156
"Yonge St / Alexander St",-79.3837219,43.6628957
"Yonge St / Dundonald St",-79.3849316,43.6658332
"York St / King St",-79.3835492,43.6479288
